id,uri,dataHoraInicio,dataHoraFim,situacao,descricaoTipo,descricao,localExterno,orgaos,urlRegistro,localCamara.nome,localCamara.predio,localCamara.sala,localCamara.andar,data_captura
81276,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/EVENTOS/81276,2026-05-05 10:18:00,2026-05-05 11:25:00,ENCERRADA,SESSÃO NÃO DELIBERATIVA SOLENE,COMEMORAÇÃO DOS 70 ANOS DA INDÚSTRIA AUTOMOTIVA NO BRASIL,,"[{""ID"": 111, ""URI"": ""HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/111"", ""SIGLA"": ""CN"", ""NOME"": ""CONGRESSO NACIONAL"", ""APELIDO"": ""CONGRESSO NACIONAL"", ""CODTIPOORGAO"": 81001, ""TIPOORGAO"": ""ÓRGÃO DO CONGRESSO NACIONAL"", ""NOMEPUBLICACAO"": ""CN"", ""NOMERESUMIDO"": ""CONGRESSO NACIONAL""}]",HTTPS://WWW.YOUTUBE.COM/WATCH?V=VE6FL7TVJDM,PLENÁRIO DO SENADO FEDERAL,,,,2026-06-03 08:38:45
81489,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/EVENTOS/81489,2026-05-05 09:25:00,2026-05-05 11:16:00,ENCERRADA,SESSÃO NÃO DELIBERATIVA SOLENE,"HOMENAGEM AO DIA INTERNACIONAL DO TRABALHO
 HOMENAGEM AO DIA INTERNACIONAL DO TRABALHO",,"[{""ID"": 180, ""URI"": ""HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/180"", ""SIGLA"": ""PLEN"", ""NOME"": ""PLENÁRIO"", ""APELIDO"": ""PLENÁRIO"", ""CODTIPOORGAO"": 26, ""TIPOORGAO"": ""PLENÁRIO VIRTUAL"", ""NOMEPUBLICACAO"": ""PLENÁRIO"", ""NOMERESUMIDO"": ""PLENÁRIO""}]",HTTPS://WWW.YOUTUBE.COM/WATCH?V=XRS10-GMNXE,PLENÁRIO DA CÂMARA DOS DEPUTADOS,,,,2026-06-03 08:38:45
81683,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/EVENTOS/81683,2026-05-05 10:25:00,2026-05-05 12:41:00,ENCERRADA (FINAL),AUDIÊNCIA PÚBLICA,"20 ANOS DA POLÍTICA NACIONAL DE PRÁTICAS INTEGRATIVAS E COMPLEMENTARES EM SAÚDE (PICS) NO SUS
 REQ. 14/2026 CSAUDE, DO DEPUTADO GIOVANI CHERINI (PL/RS)

CONVIDADOS CONFIRMADOS:

- JORDANA TRES DOS SANTOS (PARTICIPAÇÃO PRESENCIAL)
BIÓLOGA, ESPECIALISTA EM ACUPUNTURA E FITOTERAPIA, MESTRE EM QUALIDADE AMBIENTAL;

- NADIA REGINA GINDRI MILETO (PARTICIPAÇÃO VIRTUAL)
PSICÓLOGA, ESPECIALISTA EM SAÚDE PÚBLICA, HUMANIZAÇÃO DO SUS, SAÚDE MENTAL, PROMOTORA DAS PRÁTICAS INTEGRATIVAS E EDUCAÇÃO POPULAR EM SAÚDE;

- MARTA HELENA CHIELLE ROANI (PARTICIPAÇÃO VIRTUAL)
GRADUADA E PÓS GRADUADA EM NATUROPATIA CLÍNICA E CIENTÍFICA PELA ESCOLA SUPERIOR DE CIÊNCIAS TRADICIONAIS E AMBIENTAIS (ESCAM) E PELA FACULDADE MONTENEGRO IBICARAÍ/BA;

- MARCELO MASCARENHAS (PARTICIPAÇÃO VIRTUAL)
FARMACÊUTICO BIOQUÍMICO INTEGRATIVO. PHD EM PSIQUIATRIA, DOUTOR EM CIÊNCIAS CARDIOVASCULARES E CARDIOLOGIA (UFRGS) E MESTRE BIOQUÍMICA  (UFRGS);

- RICARDO MONEZI (PARTICIPAÇÃO VIRTUAL)
PÓS-DOUTORADO E DOUTORADO PELA UNIVERSIDADE FEDERAL DE SÃO PAULO. COORDENADOR DAS PRÁTICAS INTEGRATIVAS E COMPLEMENTARES EM ONCOLOGIA DO A.C.CAMARGO CANCER CENTER - SÃO PAULO;

- TAITIANE TEIXEIRA (PARTICIPAÇÃO VIRTUAL)
FISIOTERAPEUTA, COM PÓS-GRADUAÇÃO EM ACUPUNTURA PELA ASSOCIAÇÃO BRASILEIRA DE ACUPUNTURA E ESPECIALISTA EM DIVERSAS TERAPIAS INTEGRATIVAS E COMPLEMENTARES. RESPONSÁVEL TÉCNICA PELA EXECUÇÃO DAS PRÁTICAS INTEGRATIVAS E COMPLEMENTARES NO MUNICÍPIO DE VALE VERDE (RS) PELO SUS;

- TALITA PAVARINI BORGES DE SOUZA (PARTICIPAÇÃO VIRTUAL)
COORDENADORA DA CÂMARA TÉCNICA DEPRÁTICAS INTEGRATIVAS E COMPLEMENTARES EM SAÚDE -
CTPICS, DO CONSELHO FEDERAL DE ENFERMAGEM;

- ANGELA FERNANDES LEAL DA SILVA (PARTICIPAÇÃO PRESENCIAL)
DIRETORA DO DEPARTAMENTO DE PROMOÇÃO DA SAÚDE DO MINISTÉRIO DA SAÚDE.",,"[{""ID"": 2014, ""URI"": ""HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2014"", ""SIGLA"": ""CSAUDE"", ""NOME"": ""COMISSÃO DE SAÚDE"", ""APELIDO"": ""SAÚDE"", ""CODTIPOORGAO"": 2, ""TIPOORGAO"": ""COMISSÃO PERMANENTE"", ""NOMEPUBLICACAO"": ""COMISSÃO DE SAÚDE"", ""NOMERESUMIDO"": ""SAÚDE""}]",HTTPS://WWW.YOUTUBE.COM/WATCH?V=WXXPMLVB3A8,"ANEXO II, PLENÁRIO 07",,,,2026-06-03 08:38:45
81695,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/EVENTOS/81695,2026-05-04 14:30:00,,CONVOCADA,REUNIÃO TÉCNICA,ESTÁGIO-VISITA,,"[{""ID"": 100950, ""URI"": ""HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/100950"", ""SIGLA"": ""EVENTOS"", ""NOME"": ""EVENTOS"", ""APELIDO"": ""OUTROS EVENTOS"", ""CODTIPOORGAO"": 12000, ""TIPOORGAO"": ""ÓRGÃO DA CÂMARA DOS DEPUTADOS"", ""NOMEPUBLICACAO"": ""CÂMARA DOS DEPUTADOS - OUTROS EVENTOS"", ""NOMERESUMIDO"": NULL}]",,"ANEXO II, PLENÁRIO 01",,,,2026-06-03 08:38:45
81696,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/EVENTOS/81696,2026-05-05 08:30:00,,CONVOCADA,REUNIÃO TÉCNICA,ESTÁGIO-VISITA,,"[{""ID"": 100950, ""URI"": ""HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/100950"", ""SIGLA"": ""EVENTOS"", ""NOME"": ""EVENTOS"", ""APELIDO"": ""OUTROS EVENTOS"", ""CODTIPOORGAO"": 12000, ""TIPOORGAO"": ""ÓRGÃO DA CÂMARA DOS DEPUTADOS"", ""NOMEPUBLICACAO"": ""CÂMARA DOS DEPUTADOS - OUTROS EVENTOS"", ""NOMERESUMIDO"": NULL}]",,"ANEXO II, PLENÁRIO 01",,,,2026-06-03 08:38:45
81730,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/EVENTOS/81730,2026-05-05 09:53:00,2026-05-05 11:05:00,ENCERRADA (FINAL),AUDIÊNCIA PÚBLICA,"O PAPEL DAS OUVIDORIAS NO FORTALECIMENTO DA DEFESA CIVIL E NO DESENVOLVIMENTO REGIONAL: TRANSPARÊNCIA E ESCUTA ATIVA EM SITUAÇÕES DE CALAMIDADE
 REQUERIMENTO Nº 5/2026, DO DEPUTADO GILSON DANIEL (PODE-ES)

CONVIDADOS:

CORONEL ALEXANDRE CERQUEIRA (PRESENÇA CONFIRMADA - REMOTA)
COMANDANTE-GERAL DO CORPO DE BOMBEIROS MILITAR DO ESPÍRITO SANTO (CBMES/ES), REPRESENTANDO O CONSELHO NACIONAL DE COMANDANTES-GERAIS (LIGABOM)

TENENTE-CORONEL BM MARCELINO (PRESENÇA CONFIRMADA - REMOTA)
COORDENADOR ESTADUAL ADJUNTO DE DEFESA CIVIL DE MINAS GERAIS (CEDEC/MG)

TC FABIANO LEANDRO DOS SANTOS (PRESENÇA CONFIRMADA - REMOTA)
CORPO DE BOMBEIROS MILITAR DE SANTA CATARINA (CBM/SC)

EDSON LUIZ VISMONA (PRESENÇA CONFIRMADA - REMOTA)
PRESIDENTE DO CONSELHO DELIBERATIVO DA ASSOCIAÇÃO BRASILEIRA DE OUVIDORES (ABO)

NÃO COMPARECERÃO: 

GISELLI BALLESTRASSI
OUVIDORA-GERAL DO ESTADO DO ESPÍRITO SANTO (REPRESENTANDO AS OUVIDORIAS ESTADUAIS DA REGIÃO) E
SEBASTIÃO CARLOS RANNA
CONSELHEIRO OUVIDOR DO TRIBUNAL DE CONTAS DO ESPÍRITO SANTO (TCE/ES)",,"[{""ID"": 2017, ""URI"": ""HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2017"", ""SIGLA"": ""CINDRE"", ""NOME"": ""COMISSÃO DE INTEGRAÇÃO NACIONAL E DESENVOLVIMENTO REGIONAL"", ""APELIDO"": ""INTEGRAÇÃO NACIONAL E DESENVOLVIMENTO REGIONAL"", ""CODTIPOORGAO"": 2, ""TIPOORGAO"": ""COMISSÃO PERMANENTE"", ""NOMEPUBLICACAO"": ""COMISSÃO DE INTEGRAÇÃO NACIONAL E DESENVOLVIMENTO REGIONAL"", ""NOMERESUMIDO"": ""INTEGRAÇÃO NACIONAL""}]",HTTPS://WWW.YOUTUBE.COM/WATCH?V=CJRVS20KU9W,"ANEXO II, PLENÁRIO 15",,,,2026-06-03 08:38:45
81749,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/EVENTOS/81749,2026-05-04 08:30:00,2026-05-04 11:53:00,ENCERRADA,SEMINÁRIO,"SEMINÁRIO ESTADUAL DESTINADO A DEBATER OS EFEITOS DA PEC 231/19 PARA OS SETORES PRODUTIVOS DO RIO GRANDE DO SUL
 SEMINÁRIO ESTADUAL DA COMISSÃO ESPECIAL SOBRE FPM E FUNDOS CONSITUCIONAIS SUL/SUDESTE PEC 231/19

TEMA: EFEITOS DA PEC 231/19 PARA OS EFEITOS PRODUTIVOS DO RIO GRANDE DO SUL

LOCAL: SALÃO DE CONVENÇÕES DA FIERGS 
ENDEREÇO: AV. ASSIS BRASIL, 8787 - PORTO ALEGRE/RS

COORDENAÇÃO: DEPUTADO FEDERAL POMPEO DE MATTOS, 1º VICE-PRESIDENTE DA COMISSÃO ESPECIAL SOBRE O FPM E FUDOS CONSTITUCIONAIS SUL/SUDESTE PEC 231/19

CONVIDADOS:

DEPUTADO FEDERAL AFONSO HAMM, 2º VICE-PRESIDENTE DA COMISSÃO ESPECIAL SOBRE O FPM E OS FUNDOS CONSTITUCIONAIS (PEC 231/19)
DEPUTADO ESTADUAL SÉRGIO PERES ALÓS, PRESIDENTE DA ASSEMBLEIA LEGISLATIVA DO RIO GRANDE DO SUL
GOVERNADOR EDUARDO LEITE
VICE-GOVERNADOR GABRIEL SOUZA
SECRETÁRIA PRICILLA MARIA SANTANA, SECRETARIA DA FAZENDA
SECRETÁRIO LEANDRO EVALDT, SECRETARIA DE DESENVOLVIMENTO
SECRETÁRIO RANOLFO VIEIRA JÚNIOR, SECRETARIA DA CASA CIVIL
CLÁUDIO BIER, FEDERAÇÃO DAS INDÚSTRIAS DO ESTADO DO RIO GRANDE DO SUL (FIERGS)
DOMINGO VELHO LOPES, FEDERAÇÃO DA AGRICULTURA DO ESTADO DO RIO GRANDE DO SUL (FARSUL)
CARLOS JOEL DA SILVA, PRESIDENTE DA FEDERAÇÃO DOS TRABALHADORES NA AGRICULTURA NO RIO GRANDE DO SUL (FETAG-RS)
LUIZ CARLOS BOHN, FECOMÉRCIO
RODRIGO SOUSA COSTA, FEDERASUL
CARLOS KLEIN, CDL PORTO ALEGRE
SUZANA VELLINHO ENGLERT, ASSOCIAÇÃO COMERCIAL DE PORTO ALEGRE (ACPA)
IVONEI PIONER, FEDERAÇÃO VAREJISTA DO RS
FRANCISCO JOSÉ SOARES HORBE, METROPLAN
LUCAS BALDISSEROTTO, CIEE-RS
LINDONOR PERUZZO JUNIOR, ASSOCIAÇÃO GAÚCHA DE SUPERMERCADOS (AGAS)
ARLEI ROMEIRO, ASSOCIAÇÃO DOS EMPRESÁRIOS DO 4º DISTRITO DE PORTO ALEGRE
LEONARDO VOGEL DORNELES, ASSOCIAÇÃO BRASILEIRA DE BARES E RESTAURANTES (ABRASEL-RS)
FAUSTON GUSTAVO SARAIVA, ACI - NH/CB/EV/DI/IV
ADRIANA PERIM OLIVEIRA, FAMURS
JOSÉ LUIS PINHO LEITE GORDON, BNDES
FERNANDO POSTAL, BANRISUL
TIAGO CORDEIRO DE OLIVEIRA, CAIXA ECONÔMICA FEDERAL
ROBSON DIEGO FERREIRA, BADESUL
EDUARDO UHLEIN, PRESIDENTE DO TRIBUNAL DE JUSTIÇA DO ESTADO
IRADIR PIETROSKI, PRESIDENTE DO TRIBUNAL DE CONTAS DO ESTADO
ALEXANDRE SIKINOWSKI SALTZ, MINISTÉRIO PÚBLICO
MARCELO TURELA DE ALMEIDA, DEFENSORIA PÚBLICA
LEONARDO LAMACHIA, OAB
SEBASTIÃO MELO, PREFEITO DE PORTO ALEGRE E REPRESENTANTE DA ASSOCIAÇÃO NACIONAL DOS PREFEITOS (ANP",SALÃO DE CONVENÇÕES - FIERGS,"[{""ID"": 539741, ""URI"": ""HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/539741"", ""SIGLA"": ""PEC23119"", ""NOME"": ""COMISSÃO ESPECIAL DESTINADA A PROFERIR PARECER À PROPOSTA DE EMENDA À CONSTITUIÇÃO N. 231, DE 2019, QUE ALTERA O ART. 159 DA CONSTITUIÇÃO FEDERAL PARA DISCIPLINAR A DISTRIBUIÇÃO DE RECURSOS PELA UNIÃO AO FUNDO DE PARTICIPAÇÃO DOS MUNICÍPIOS"", ""APELIDO"": ""PEC 231/19 - FPM E FUNDOS CONSTITUCIONAIS SUL/SUDESTE"", ""CODTIPOORGAO"": 3, ""TIPOORGAO"": ""COMISSÃO ESPECIAL"", ""NOMEPUBLICACAO"": ""COMISSÃO ESPECIAL SOBRE O FPM E OS FUNDOS CONSTITUCIONAIS SUL/SUDESTE (PEC 231/19)"", ""NOMERESUMIDO"": ""FUNDOS DE FINANCIAMENTO""}]",,,,,,2026-06-03 08:38:45
81794,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/EVENTOS/81794,2026-05-02 09:00:00,2026-05-02 19:00:00,ENCERRADA (FINAL),EVENTO TÉCNICO,ENCONTRO DA CAPADR NA EXPOZEBU 2026,PARQUE DE EXPOSIÇÕES DE UBERABA-MG,"[{""ID"": 2001, ""URI"": ""HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2001"", ""SIGLA"": ""CAPADR"", ""NOME"": ""COMISSÃO DE AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL"", ""APELIDO"": ""AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL"", ""CODTIPOORGAO"": 2, ""TIPOORGAO"": ""COMISSÃO PERMANENTE"", ""NOMEPUBLICACAO"": ""COMISSÃO DE AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL"", ""NOMERESUMIDO"": ""AGROPECUÁRIA""}]",,,,,,2026-06-03 08:38:45
81795,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/EVENTOS/81795,2026-05-03 09:00:00,2026-05-03 19:00:00,ENCERRADA (FINAL),EVENTO TÉCNICO,ENCONTRO DA CAPADR NA EXPOZEBU 2026,PARQUE DE EXPOSIÇÕES DE UBERABA-MG,"[{""ID"": 2001, ""URI"": ""HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2001"", ""SIGLA"": ""CAPADR"", ""NOME"": ""COMISSÃO DE AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL"", ""APELIDO"": ""AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL"", ""CODTIPOORGAO"": 2, ""TIPOORGAO"": ""COMISSÃO PERMANENTE"", ""NOMEPUBLICACAO"": ""COMISSÃO DE AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DESENVOLVIMENTO RURAL"", ""NOMERESUMIDO"": ""AGROPECUÁRIA""}]",,,,,,2026-06-03 08:38:45
81823,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/EVENTOS/81823,2026-05-05 10:22:00,2026-05-05 12:35:00,ENCERRADA (FINAL),SEMINÁRIO,"AVANÇOS E DESAFIOS NA IMPLEMENTAÇÃO DA LEI Nº 10.436/2002 (LEI DA LIBRAS), EM ALUSÃO AO DIA NACIONAL DA LIBRAS
 CONVIDADOS:


.  VALDO RIBEIRO RESENDE DA NOBREGA, DO MINISTÉRIO DA CULTURA; E PATRÍCIA LUZIA FERREIRA REZENDE, DO MINISTÉRIO DA EDUCAÇÃO; AMBOS CONSELHEIROS TITULARES DO CONSELHO NACIONAL DOS DIREITOS DA PESSOA COM DEFICIÊNCIA - CONADE; (CONFIRMADOS)

.  HELOISA SALLES, PROFESSORA DA UNIVERSIDADE DE BRASÍLIA - UNB, ESPECIALISTA EM LINGUÍSTICA; (CONFIRMADA)

.  RODRIGO ROSSO MARQUES, CHEFE DO DEPARTAMENTO DE LIBRAS DA UNIVERSIDADE FEDERAL DE SANTA CATARINA - UFSC; (CONFIRMADO)

.  SIMONE ROCHA, REPRESENTANTE DE MOVIMENTOS CODA - ""CHILDREN OF DEAF ADULTS""; DOCENTE DA UNIVERSIDADE DE UBERABA - UNIUBE; E TRADUTORA INTÉRPRETE DO PAR LINGUÍSTICO LIBRAS/PORTUGUÊS; (CONFIRMADA)

.  LENILDO LIMA DE SOUZA, PRESIDENTE DA FEDERAÇÃO BRASILEIRA DAS ASSOCIAÇÕES DOS PROFISSIONAIS TRADUTORES E INTÉRPRETES E GUIA-INTÉRPRETES DE LÍNGUA DE SINAIS - FEBRAPILS; (CONFIRMADO)

.  ANTONIO CAMPOS DE ABREU, PRESIDENTE DA FEDERAÇÃO NACIONAL DE EDUCAÇÃO E INTEGRAÇÃO DOS SURDOS - FENEIS; (CONFIRMADO)

.  SHIRLEY VILHALVA, INDÍGENA SURDA, ESCRITORA, PROFESSORA E PESQUISADORA DA UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL - UFMS; (CONFIRMADA)

.  GLÁUCIO CASTRO JÚNIOR, PROFESSOR SURDO E COORDENADOR DO NÚCLEO DE ENSINO DE LIBRAS (UNBLIBRAS) DA UNIVERSIDADE DE BRASÍLIA - UNB; (CONFIRMADO)

.  ISRAEL FERREIRA SOUSA, PROFESSOR SURDO E MESTRANDO EM LINGUÍSTICA PELA UNIVERSIDADE DE BRASÍLIA - UNB; (CONFIRMADO)

.  ADENILSON IDALINO DE SOUSA, DIRETOR DO DEPARTAMENTO DE POLÍTICAS PARA A PESSOA COM DEFICIÊNCIA DO MINISTÉRIO DOS DIREITOS HUMANOS E DA CIDADANIA - MDHC. (NÃO PARTICIPARÁ)


EM ATENDIMENTO AO REQUERIMENTO Nº 20/2026-CPD, DE AUTORIA DO DEPUTADO RODRIGO ROLLEMBERG.",,"[{""ID"": 537480, ""URI"": ""HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/537480"", ""SIGLA"": ""CPD"", ""NOME"": ""COMISSÃO DE DEFESA DOS DIREITOS DAS PESSOAS COM DEFICIÊNCIA"", ""APELIDO"": ""DEFESA DOS DIREITOS DAS PESSOAS COM DEFICIÊNCIA"", ""CODTIPOORGAO"": 2, ""TIPOORGAO"": ""COMISSÃO PERMANENTE"", ""NOMEPUBLICACAO"": ""COMISSÃO DE DEFESA DOS DIREITOS DAS PESSOAS COM DEFICIÊNCIA"", ""NOMERESUMIDO"": ""PESSOAS COM DEFICIÊNCIA""}]",HTTPS://WWW.YOUTUBE.COM/WATCH?V=VLYGXXZMGVA,"ANEXO II, PLENÁRIO 13",,,,2026-06-03 08:38:45
81827,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/EVENTOS/81827,2026-05-05 10:17:00,2026-05-05 13:06:00,ENCERRADA,AUDIÊNCIA PÚBLICA,"DEBATER TEMAS ENVOLVENDO OS COLECIONADORES, ATIRADORES DESPORTIVOS E CAÇADORES (CACS).  
 REQUERIMENTO Nº 90/2026 DE AUTORIA DO DEPUTADO FEDERAL RODRIGO DA ZAELI - PL/MT
REQUER A REALIZAÇÃO DE AUDIÊNCIA PÚBLICA PARA DISCUTIR TEMAS ENVOLVENDO OS COLECIONADORES, ATIRADORES DESPORTIVOS E CAÇADORES (CACS).


CONVIDADOS:


MARCOS POLLON (CONFIRMADO)
DEPUTADO FEDERAL (PL/MT) E REPRESENTANTE DO PRO ARMAS BRASIL.

CEL PTTC PAULO TEIXEIRA JUNIOR (CONFIRMADO)
REPRESENTANDO A DIRETORIA DE FISCALIZAÇÃO DE PRODUTOS CONTROLADOS DO EXÉRCITO BRASILEIRO - DFPC

CEL SANT'ANNA (CONFIRMADO)
CORONEL DA PMDF E PROPRIETÁRIO DE CLUBE DE TIRO

WELLINGTON CLAY PORCINO SILVA, DELEGADO DE POLÍCIA FEDERAL (CONFIRMADO)
COORDENADOR-GERAL DE CONTROLE DE ARMAS DE FOGO - CGARM/DPA/PF

JOSÉ LUIZ DE SANCTS (CONFIRMADO)
PRESIDENTE DA  ASSOCIAÇÃO NACIONAL DE ATIRADORES ESPORTIVOS, CAÇADORES E COLECIONADORES - ANACAC;

DR. BERETTA (CONFIRMADO)
ADVOGADO ESPECIALISTA NA LEGISLAÇÃO ARMAMENTISTA E DE PORTE FEDERAL DE ARMAS DE FOGO;

MARCELO DANFENBACK  (CONFIRMADO)
PRESIDENTE DA LIGA NACIONAL DE ATIRADORES DESPORTIVOS - LINADE;

MARDQUEU SILVIO FRANÇA FILHO (CONFIRMADO)
SAMURAI CAÇADOR E ADVOGADO

RODRIGO CORREIA MOREIRA (CONFIRMADO)
INSTRUTOR DE ARMAMENTOS DE TIRO

REPRESENTANTE DO MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA;",,"[{""ID"": 5503, ""URI"": ""HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/5503"", ""SIGLA"": ""CSPCCO"", ""NOME"": ""COMISSÃO DE SEGURANÇA PÚBLICA E COMBATE AO CRIME ORGANIZADO"", ""APELIDO"": ""SEGURANÇA PÚBLICA E COMBATE AO CRIME ORGANIZADO"", ""CODTIPOORGAO"": 2, ""TIPOORGAO"": ""COMISSÃO PERMANENTE"", ""NOMEPUBLICACAO"": ""COMISSÃO DE SEGURANÇA PÚBLICA E COMBATE AO CRIME ORGANIZADO"", ""NOMERESUMIDO"": ""SEGURANÇA PÚBLICA""}]",HTTPS://WWW.YOUTUBE.COM/WATCH?V=WBKILFIXYXK,"ANEXO II, PLENÁRIO 06",,,,2026-06-03 08:38:45
81900,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/EVENTOS/81900,2026-05-04 18:38:00,2026-05-04 19:22:00,ENCERRADA,SESSÃO DELIBERATIVA,SESSÃO DELIBERATIVA EXTRAORDINÁRIA SEMIPRESENCIAL (AM Nº 123/2020),,"[{""ID"": 180, ""URI"": ""HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/180"", ""SIGLA"": ""PLEN"", ""NOME"": ""PLENÁRIO"", ""APELIDO"": ""PLENÁRIO"", ""CODTIPOORGAO"": 26, ""TIPOORGAO"": ""PLENÁRIO VIRTUAL"", ""NOMEPUBLICACAO"": ""PLENÁRIO"", ""NOMERESUMIDO"": ""PLENÁRIO""}]",HTTPS://WWW.YOUTUBE.COM/WATCH?V=49ZK7VT-C1I,PLENÁRIO DA CÂMARA DOS DEPUTADOS,,,,2026-06-03 08:38:45
81902,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/EVENTOS/81902,2026-05-05 09:00:00,,CONVOCADA,REUNIÃO TÉCNICA,"SEMINÁRIO FINANCEIRIZAÇÃO, SISTEMA DA DÍVIDA E SEUS REFLEXOS,
A SER PROMOVIDO PELA FRENTE PARLAMENTAR SOBRE O LIMITE DOS JUROS E A AUDITORIA 
INTEGRAL DA DÍVIDA PÚBLICA COM A PARTICIPAÇÃO POPULAR.",,"[{""ID"": 100950, ""URI"": ""HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/100950"", ""SIGLA"": ""EVENTOS"", ""NOME"": ""EVENTOS"", ""APELIDO"": ""OUTROS EVENTOS"", ""CODTIPOORGAO"": 12000, ""TIPOORGAO"": ""ÓRGÃO DA CÂMARA DOS DEPUTADOS"", ""NOMEPUBLICACAO"": ""CÂMARA DOS DEPUTADOS - OUTROS EVENTOS"", ""NOMERESUMIDO"": NULL}]",,AUDITÓRIO FREITAS NOBRE,,,,2026-06-03 08:38:45
81907,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/EVENTOS/81907,2026-05-05 10:15:00,2026-05-05 12:07:00,ENCERRADA (FINAL),AUDIÊNCIA PÚBLICA,"PLANO ANUAL DE FISCALIZAÇÃO E CONTROLE (PAFC 2026): EMENDAS PARLAMENTARES  TRANSPARÊNCIA E EFICIÊNCIA NA APLICAÇÃO DE RECURSOS PROVENIENTES DE EMENDAS PARLAMENTARES INDIVIDUAIS E DO RELATOR.
 CONVIDADOS:

1)  MARCUS PESTANA | DIRETOR | INSTITUTO FISCAL INDEPENDENTE DO SENADO FEDERAL (IFI)
2) RAUL SANTOS | CONSULTORIA LEGISLATIVA (CONLE) DA CÂMARA DOS DEPUTADOS
3) EUGÊNIO GREGGIANIN | CONSULTORIA DE ORÇAMENTO E FISCALIZAÇÃO FINANCEIRA DA CÂMARA DOS DEPUTADOS (CONOF)
4) GIORDANO RONCONI | CONSULTORIA DE ORÇAMENTO E FISCALIZAÇÃO FINANCEIRA DA CÂMARA DOS DEPUTADOS (CONOF)

(EM ATENDIMENTO AO REQUERIMENTO Nº 59, DE 2026, DE INICIATIVA DO DEP. JORGE SOLLA | PT-BA | RELATOR DO PAFC 2026)",,"[{""ID"": 2011, ""URI"": ""HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2011"", ""SIGLA"": ""CFFC"", ""NOME"": ""COMISSÃO DE FISCALIZAÇÃO FINANCEIRA E CONTROLE"", ""APELIDO"": ""FISCALIZAÇÃO FINANCEIRA E CONTROLE"", ""CODTIPOORGAO"": 2, ""TIPOORGAO"": ""COMISSÃO PERMANENTE"", ""NOMEPUBLICACAO"": ""COMISSÃO DE FISCALIZAÇÃO FINANCEIRA E CONTROLE"", ""NOMERESUMIDO"": ""FISCALIZAÇÃO FINANCEIRA""}]",HTTPS://WWW.YOUTUBE.COM/WATCH?V=3P11XALQ29Q,"ANEXO II, PLENÁRIO 09",,,,2026-06-03 08:38:45
